Word,Meaning,Example,Synonyms
dispel,"make (a doubt, feeling, or belief) disappear.",the brightness of the day did nothing to dispel Elaine's dejection,"banish, eliminate, dismiss"
fester,"become worse or more intense, especially through long-term neglect or indifference",Let me dispel a few rumors so they don't fester into facts,"rankle, brew"
hymnal,relating to hymns,hymnal music,hymnal
iota,"scintilla, trace, tiny amount of","When you reach the 'chitta', the supreme consciousness, there is no iota of memory. It is pure intelligence.",
excrement,waste matter discharged from the bowels; faeces. (can be used metaphorically too),,"faeces, excreta"
huddle up,To move close together to form a tightly packed group,The football team huddled up to discuss the next play.,come together; form closed group
pegged,fix; form a fixed opinion of; categorize,Funny I never pegged you as a cynic.,categorize; pin; attach
cynic,a person who believes that people are motivated purely by self-interest rather than acting for honourable or unselfish reasons.,some cynics thought that the controversy was all a publicity stunt,sceptic; doubter; pessimist; doomsayer
unfettered,not confined or restricted.,Show me the heart unfettered by foolish dreams,unrestrained; unrestricted; unconstrained; unbound
marrow,the essential part of something (it has other physical meanings but this one seems to be more GRE-ish),The Dead Poets were dedicated to sucking the marrow out of life.,essence; core; pith; kernel; gist
swoon,"faint, especially from extreme emotion",Frankie's mother swooned and had to be helped to the headmaster's office,
reconvene,"convene or cause to convene again, especially after a pause in proceedings (convene means come or bring together for a meeting or activity; assemble)",parliament reconvenes on 1st June,re-assemble; re-summon
rout,a disorderly retreat of defeated troops,the retreat degenerated into a rout,retreat
daunt,make (someone) feel intimidated or apprehensive,some people are daunted by technology,intimidate; abash; dishearten; ruffle
scaffold,a raised wooden platform used formerly for the public execution of criminals,To mount the scaffolds.,
nonchalant,"(of a person or manner) feeling or appearing casually calm and relaxed; not displaying anxiety, interest, or enthusiasm",she gave a nonchalant shrug,calm; cool; composed;
agony,extreme physical/mental suffering,he crashed to the ground in agony,pain; hurt; suffering; torture
yawp,a harsh or hoarse cry or yelp; shout or exclaim hoarsely,Now Todd I would like you to give us a demonstration of a barbaric yawp.,loud cry; loud yell;
preside,be in the position of authority in a meeting or other gathering,"And my definition of a film director is ""the man who presides over accidents.""
",lead; manage;
campier,(of a man or his manner) ostentatiously and extravagantly effeminate,"The little campier still, but masculine.",effeminate; effete; (antonym: macho; masculine)
appellation,a name or title,The city fully justifies its appellation ‘the Pearl of the Orient’,name; title; designation
retain,continue to have (something); keep possession of,Even today we are retaining the same orthodox practices in many areas.,keep; hold on to
provenance,the place of origin or earliest known history of something.,an orange rug of Iranian provenance,origin; source
impinge upon,to make an impression; have an effect or impact (usually followed by on or upon),to impinge upon the imagination; social pressures that impinge upon one's daily life. to encroach; infringe (usually followed by on or upon): to impinge on another's rights.,infringe on;
disconsolate,very unhappy and unable to be comforted.,,sad; unhappy; doleful
chirpy,happy; good mood,,
scotched,ended,,
coddled,"treated with excessive care, pampered.",,
forestalled,prevent or obstruct (an anticipated event or action) by taking advance action.,,pre-empt; 
In years past,in past times,,
revel,to enjoy; to celebrate,,
dogged,tenacious; resolute; determined,,
quirky,"eccentric, unusual",,
